"ID","STATUS","NAME"
1031,0,"Lycoming County"
1032,0,"Lyman County"
1033,1,"Lynchburg City"
1034,1,"Lynn County"
1035,0,"Lyon County"
1036,1,"Mackinac County"
1037,1,"Macomb County"
1038,0,"Macon County"
1039,0,"Macoupin County"
1040,0,"Madera County"
1041,1,"Madison County"
1042,0,"Madison Parish"
1043,1,"Magoffin County"
1044,1,"Mahaska County"
1045,0,"Mahnomen County"
1046,1,"Mahoning County"
1047,1,"Major County"
1048,1,"Malheur County"
1049,0,"Manassas City"
1050,0,"Manassas Park City"
1051,0,"Manatee County"
1052,1,"Manistee County"
1053,1,"Manitowoc County"
1054,1,"Marathon County"
1055,1,"Marengo County"
1056,0,"Maricao"
1057,0,"Maricopa County"
1058,1,"Maries County"
1059,0,"Marin County"
1060,0,"Marinette County"
1061,0,"Marion County"
1062,1,"Mariposa County"
1063,1,"Marlboro County"
1064,1,"Marquette County"
1065,0,"Marshall County"
1066,1,"Martin County"
1067,1,"Martinsville City"
1068,0,"Mason County"
1069,1,"Massac County"
1070,1,"Matagorda County"
1071,0,"Matanuska-Susitna Borough"
1072,1,"Mathews County"
1073,1,"Maui County"
1074,1,"Maury County"
1075,0,"Maverick County"
1076,0,"Mayes County"
1077,1,"McClain County"
1078,0,"McCone County"
1079,1,"McCook County"
1080,0,"McCormick County"
1081,0,"McCracken County"
1082,1,"McCreary County"
1083,1,"McCulloch County"
1084,0,"McCurtain County"
1085,1,"McDonald County"
1086,1,"McDonough County"
1087,1,"McDowell County"
1088,1,"McDuffie County"
1089,1,"McHenry County"
1090,1,"McIntosh County"
1091,0,"McKean County"
1092,1,"McKenzie County"
1093,1,"McKinley County"
1094,0,"McLean County"
1095,0,"McLennan County"
1096,1,"McLeod County"
1097,1,"McMinn County"
1098,1,"McMullen County"
1099,1,"McNairy County"
1100,0,"McPherson County"
1101,0,"Meade County"
1102,0,"Meagher County"
1103,0,"Mecklenburg County"
1104,0,"Mecosta County"
1105,0,"Medina County"
1106,1,"Meeker County"
1107,1,"Meigs County"
1108,0,"Mellette County"
1109,0,"Menard County"
1110,1,"Mendocino County"
1111,1,"Menifee County"
1112,1,"Menominee County"
1113,1,"Merced County"
1114,0,"Mercer County"
1115,1,"Meriwether County"
1116,1,"Merrick County"
